loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
27,4, Graduate, No,3854000.0,13207000.0,12,696,5405000.0,4982000.0,11891000.0,3384000.0, Approved
28,4, Not Graduate, Yes,1128000.0,2632000.0,4,662,2115000.0,1974000.0,2538000.0,1175000.0, Approved
29,5, Not Graduate, Yes,3290000.0,11280000.0,6,336,1081000.0,5593000.0,12925000.0,4559000.0, Rejected
30,3, Not Graduate, Yes,4230000.0,14805000.0,10,850,10246000.0,5828000.0,15839000.0,3760000.0, Approved
31,2, Not Graduate, No,4606000.0,11891000.0,12,313,9494000.0,2444000.0,11985000.0,4371000.0, Rejected
32,2, Graduate, No,2679000.0,5640000.0,6,363,1692000.0,3478000.0,10199000.0,2021000.0, Rejected
33,1, Not Graduate, Yes,376000.0,752000.0,10,436,329000.0,94000.0,1033999.9999999999,470000.0, Rejected
34,5, Not Graduate, Yes,3948000.0,10340000.0,2,830,1786000.0,1833000.0,9353000.0,2538000.0, Approved
35,3, Graduate, No,2303000.0,5593000.0,8,612,4559000.0,564000.0,8930000.0,2726000.0, Approved
36,2, Graduate, Yes,799000.0,1598000.0,8,691,1269000.0,1316000.0,2820000.0,423000.0, Approved
37,3, Not Graduate, No,752000.0,2914000.0,18,636,1598000.0,329000.0,2491000.0,658000.0, Approved
38,5, Graduate, Yes,3760000.0,12784000.0,6,348,3008000.0,141000.0,7849000.0,3337000.0, Rejected
39,5, Graduate, No,1692000.0,3619000.0,16,830,3290000.0,611000.0,4700000.0,1363000.0, Approved
40,3, Not Graduate, Yes,705000.0,2397000.0,6,352,47000.0,94000.0,2632000.0,423000.0, Rejected
41,1, Graduate, No,3666000.0,8507000.0,2,712,4042000.0,5264000.0,10199000.0,4230000.0, Approved
42,2, Not Graduate, No,4277000.0,11703000.0,16,822,10481000.0,5687000.0,14570000.0,2444000.0, Approved
43,3, Graduate, No,658000.0,1598000.0,6,540,94000.0,705000.0,1833000.0,376000.0, Rejected
44,2, Graduate, Yes,376000.0,1081000.0,12,342,1033999.9999999999,611000.0,846000.0,376000.0, Rejected
45,5, Graduate, No,3055000.0,6298000.0,18,787,8554000.0,141000.0,7614000.0,2538000.0, Approved
46,4, Graduate, No,3760000.0,13066000.0,16,331,6110000.0,2961000.0,10058000.0,5123000.0, Rejected
47,3, Not Graduate, Yes,1974000.0,6862000.0,6,679,1128000.0,3243000.0,4089000.0,2303000.0, Approved
48,1, Graduate, Yes,2303000.0,8977000.0,14,677,2538000.0,4277000.0,8318999.999999999,3055000.0, Approved
49,3, Not Graduate, No,2585000.0,9635000.0,12,634,376000.0,4042000.0,8695000.0,3854000.0, Approved
50,1, Not Graduate, Yes,4465000.0,8977000.0,16,662,47000.0,4935000.0,17719000.0,5499000.0, Approved
51,4, Graduate, No,3431000.0,11938000.0,16,502,235000.0,846000.0,9635000.0,4935000.0, Rejected
52,2, Graduate, No,4089000.0,11609000.0,10,435,3196000.0,1645000.0,10246000.0,5311000.0, Rejected
53,5, Not Graduate, No,1786000.0,3572000.0,4,689,4089000.0,47000.0,4371000.0,1598000.0, Approved
54,1, Not Graduate, Yes,3948000.0,10810000.0,12,657,7238000.0,6956000.0,14993000.0,3854000.0, Approved
55,2, Graduate, Yes,2397000.0,9259000.0,20,590,3478000.0,4371000.0,9118000.0,1598000.0, Approved
56,5, Not Graduate, No,3149000.0,11515000.0,12,818,564000.0,2632000.0,7661000.0,2914000.0, Approved
57,2, Not Graduate, No,2021000.0,4982000.0,18,431,987000.0,705000.0,4371000.0,2444000.0, Rejected
58,5, Graduate, Yes,4371000.0,14335000.0,18,841,9071000.0,4841000.0,16262000.0,4089000.0, Approved
59,1, Graduate, No,3478000.0,8648000.0,20,421,8695000.0,4277000.0,8224999.999999999,1927000.0, Rejected
60,4, Not Graduate, Yes,2585000.0,8554000.0,16,797,-47000.0,2303000.0,8742000.0,2256000.0, Approved
61,2, Not Graduate, No,3995000.0,8883000.0,18,478,11186000.0,7661000.0,12173000.0,5358000.0, Rejected
62,3, Not Graduate, Yes,4512000.0,14335000.0,18,669,2209000.0,893000.0,12455000.0,4371000.0, Approved
63,5, Not Graduate, Yes,4135999.9999999995,13583000.0,6,365,11468000.0,4042000.0,12878000.0,2209000.0, Rejected
64,3, Not Graduate, Yes,1551000.0,3525000.0,20,586,752000.0,2632000.0,4935000.0,1363000.0, Approved
65,4, Graduate, Yes,1833000.0,5781000.0,18,784,3572000.0,3243000.0,6157000.0,1316000.0, Approved
66,1, Graduate, No,1927000.0,4841000.0,12,364,4465000.0,2867000.0,7003000.0,1316000.0, Rejected
67,3, Not Graduate, No,3901000.0,13677000.0,10,715,2867000.0,5593000.0,11327000.0,5593000.0, Approved
68,0, Not Graduate, Yes,1269000.0,4747000.0,20,693,94000.0,799000.0,2773000.0,658000.0, Rejected
69,4, Graduate, No,2632000.0,5828000.0,4,777,2585000.0,1457000.0,5546000.0,2585000.0, Approved
70,0, Graduate, No,893000.0,2350000.0,12,312,1880000.0,1316000.0,2303000.0,1128000.0, Rejected
71,4, Not Graduate, Yes,235000.0,705000.0,20,340,47000.0,94000.0,893000.0,282000.0, Rejected
72,5, Graduate, Yes,2491000.0,8742000.0,4,386,1269000.0,4559000.0,5593000.0,1974000.0, Approved
73,5, Not Graduate, No,3290000.0,8601000.0,4,418,8648000.0,5499000.0,10105000.0,3572000.0, Rejected
74,3, Not Graduate, Yes,2726000.0,7849000.0,16,735,1833000.0,4418000.0,5922000.0,2632000.0, Approved
75,2, Not Graduate, No,1222000.0,3948000.0,6,494,3055000.0,1786000.0,2632000.0,940000.0, Rejected
76,2, Not Graduate, No,893000.0,3055000.0,18,671,282000.0,1175000.0,2256000.0,516999.99999999994, Approved
77,4, Graduate, No,2679000.0,6956000.0,16,697,6721000.0,3666000.0,6063000.0,2961000.0, Approved
78,0, Graduate, No,4230000.0,15745000.0,8,801,5452000.0,4182999.9999999995,16637999.999999998,5217000.0, Approved
79,2, Not Graduate, No,3995000.0,13818000.0,12,576,8271999.999999999,2632000.0,11844000.0,4230000.0, Approved
80,0, Not Graduate, No,329000.0,658000.0,14,639,893000.0,329000.0,1128000.0,423000.0, Approved
81,4, Graduate, No,1645000.0,4182999.9999999995,4,470,611000.0,1033999.9999999999,5781000.0,940000.0, Rejected
82,0, Not Graduate, No,4135999.9999999995,14664000.0,4,826,1363000.0,235000.0,15651000.0,4042000.0, Approved
83,2, Not Graduate, Yes,4653000.0,9964000.0,16,363,11985000.0,5358000.0,12502000.0,3196000.0, Rejected
84,3, Graduate, No,1692000.0,4042000.0,20,613,4418000.0,141000.0,4841000.0,1551000.0, Approved
85,3, Not Graduate, Yes,1410000.0,3854000.0,16,713,2491000.0,2726000.0,5170000.0,1598000.0, Approved
86,2, Graduate, No,3196000.0,9964000.0,16,439,8037000.0,2209000.0,10951000.0,1692000.0, Rejected
87,5, Not Graduate, Yes,516999.99999999994,1786000.0,18,387,611000.0,564000.0,1786000.0,752000.0, Rejected
88,1, Not Graduate, Yes,4089000.0,13301000.0,8,402,9588000.0,6392000.0,13113000.0,4794000.0, Rejected
89,4, Graduate, Yes,940000.0,3760000.0,6,837,2397000.0,1222000.0,1833000.0,1363000.0, Approved
90,2, Not Graduate, No,4606000.0,17672000.0,10,641,11327000.0,0.0,10998000.0,3572000.0, Approved
91,4, Graduate, No,2679000.0,9917000.0,18,489,235000.0,2021000.0,5875000.0,2820000.0, Rejected
92,4, Graduate, No,4135999.9999999995,9729000.0,18,540,9024000.0,1504000.0,10528000.0,5969000.0, Rejected
93,4, Graduate, No,1786000.0,4182999.9999999995,4,844,4277000.0,1645000.0,6157000.0,2209000.0, Approved
94,1, Graduate, No,799000.0,3008000.0,10,452,423000.0,516999.99999999994,2632000.0,987000.0, Rejected
95,2, Graduate, No,470000.0,940000.0,10,366,564000.0,188000.0,1504000.0,611000.0, Rejected
96,5, Graduate, No,141000.0,516999.99999999994,2,300,47000.0,235000.0,329000.0,188000.0, Approved
97,2, Graduate, Yes,3102000.0,7050000.0,18,470,564000.0,2256000.0,8554000.0,3290000.0, Rejected
98,2, Not Graduate, No,4089000.0,11750000.0,20,861,6909000.0,3995000.0,10904000.0,3431000.0, Approved
99,4, Graduate, No,4418000.0,13818000.0,12,562,12173000.0,7144000.0,17108000.0,3337000.0, Approved
100,0, Graduate, No,2067999.9999999998,5076000.0,14,463,1128000.0,2256000.0,6486000.0,2209000.0, Rejected
101,4, Not Graduate, No,188000.0,423000.0,12,478,329000.0,47000.0,564000.0,47000.0, Rejected
102,2, Not Graduate, Yes,141000.0,516999.99999999994,2,702,141000.0,94000.0,235000.0,94000.0, Approved
103,2, Not Graduate, Yes,2021000.0,6063000.0,20,618,5358000.0,1692000.0,5358000.0,1128000.0, Approved
104,4, Graduate, No,752000.0,2115000.0,12,633,329000.0,799000.0,1927000.0,893000.0, Approved
105,5, Not Graduate, Yes,2914000.0,11092000.0,10,331,8695000.0,4841000.0,11186000.0,4089000.0, Rejected
106,3, Not Graduate, Yes,1974000.0,4559000.0,16,841,3666000.0,141000.0,7849000.0,2397000.0, Approved
107,4, Not Graduate, Yes,4230000.0,8507000.0,12,764,282000.0,7755000.0,9776000.0,5452000.0, Approved
108,0, Graduate, No,1269000.0,4982000.0,6,591,611000.0,1269000.0,4653000.0,846000.0, Approved
109,1, Graduate, Yes,4559000.0,16873000.0,2,719,9212000.0,3572000.0,9588000.0,5123000.0, Approved
110,2, Graduate, No,1551000.0,3196000.0,14,317,1598000.0,141000.0,5499000.0,1692000.0, Rejected
111,0, Not Graduate, No,141000.0,516999.99999999994,8,778,376000.0,94000.0,423000.0,47000.0, Approved
112,3, Graduate, Yes,3478000.0,8554000.0,14,302,2632000.0,1457000.0,8413000.0,2350000.0, Rejected
113,5, Not Graduate, No,3337000.0,9259000.0,8,502,3431000.0,2632000.0,11891000.0,4606000.0, Rejected
114,5, Not Graduate, Yes,3431000.0,10387000.0,18,879,9165000.0,4982000.0,9071000.0,4606000.0, Approved
115,1, Not Graduate, No,3948000.0,10998000.0,14,437,7238000.0,2726000.0,15698000.0,3807000.0, Rejected
116,0, Not Graduate, Yes,1551000.0,5076000.0,12,797,282000.0,2820000.0,3619000.0,1551000.0, Approved
117,4, Not Graduate, Yes,2726000.0,10904000.0,18,456,7567000.0,1974000.0,10622000.0,3525000.0, Rejected
118,0, Not Graduate, No,282000.0,752000.0,6,647,705000.0,282000.0,705000.0,329000.0, Approved
119,0, Not Graduate, No,3384000.0,7426000.0,12,379,5969000.0,5734000.0,10105000.0,1692000.0, Rejected
120,1, Not Graduate, Yes,4277000.0,15463000.0,2,717,1033999.9999999999,940000.0,11092000.0,2773000.0, Approved
121,5, Graduate, No,423000.0,1081000.0,16,545,47000.0,94000.0,1269000.0,376000.0, Rejected
122,2, Graduate, No,376000.0,1504000.0,8,317,141000.0,470000.0,940000.0,423000.0, Rejected
123,1, Not Graduate, No,3995000.0,15463000.0,10,570,2397000.0,2914000.0,9635000.0,2585000.0, Approved
124,0, Not Graduate, Yes,4230000.0,8789000.0,18,865,12596000.0,0.0,9823000.0,5311000.0, Approved
125,3, Graduate, No,3290000.0,9165000.0,14,719,5734000.0,4841000.0,8554000.0,4794000.0, Approved
126,3, Graduate, No,94000.0,282000.0,16,821,188000.0,47000.0,235000.0,47000.0, Approved
127,4, Not Graduate, Yes,188000.0,376000.0,10,859,423000.0,235000.0,376000.0,94000.0, Approved
128,3, Not Graduate, No,2397000.0,8554000.0,10,395,47000.0,3760000.0,7285000.0,2961000.0, Rejected
129,2, Not Graduate, Yes,329000.0,1222000.0,12,429,752000.0,611000.0,1269000.0,376000.0, Rejected
130,3, Graduate, No,188000.0,564000.0,12,861,94000.0,282000.0,516999.99999999994,94000.0, Approved
131,0, Not Graduate, Yes,4465000.0,9776000.0,14,565,7097000.0,5593000.0,15933000.0,6298000.0, Approved
132,5, Graduate, No,4135999.9999999995,10622000.0,10,357,3713000.0,4042000.0,8554000.0,2303000.0, Rejected
133,3, Not Graduate, Yes,846000.0,1692000.0,18,465,282000.0,235000.0,2538000.0,1222000.0, Rejected
134,4, Not Graduate, Yes,3196000.0,6533000.0,8,479,5499000.0,4277000.0,12079000.0,4512000.0, Rejected
135,3, Not Graduate, No,705000.0,2585000.0,16,717,987000.0,376000.0,2067999.9999999998,611000.0, Approved
136,3, Graduate, No,752000.0,2585000.0,12,425,282000.0,376000.0,2538000.0,423000.0, Rejected
137,2, Not Graduate, No,2162000.0,7849000.0,2,786,94000.0,2773000.0,6533000.0,2867000.0, Approved
138,5, Not Graduate, Yes,1033999.9999999999,3149000.0,6,382,2067999.9999999998,611000.0,4042000.0,516999.99999999994, Rejected
139,3, Not Graduate, Yes,1363000.0,3995000.0,12,564,470000.0,1457000.0,3525000.0,846000.0, Approved
140,0, Graduate, No,94000.0,329000.0,8,501,235000.0,94000.0,329000.0,47000.0, Rejected
141,2, Not Graduate, Yes,1175000.0,4418000.0,10,727,3102000.0,1927000.0,4465000.0,1551000.0, Approved
142,4, Not Graduate, No,1692000.0,3525000.0,6,894,516999.99999999994,3055000.0,3478000.0,1316000.0, Approved
143,0, Graduate, Yes,2585000.0,7849000.0,18,829,2585000.0,611000.0,6016000.0,2773000.0, Approved
144,4, Not Graduate, No,3102000.0,8178000.0,20,506,1222000.0,4700000.0,12173000.0,3384000.0, Rejected
145,2, Graduate, Yes,4042000.0,15087000.0,6,802,4418000.0,7849000.0,11515000.0,4606000.0, Approved
146,5, Not Graduate, No,282000.0,705000.0,14,543,141000.0,423000.0,987000.0,141000.0, Rejected
147,3, Graduate, Yes,658000.0,1504000.0,20,772,1128000.0,423000.0,2397000.0,752000.0, Approved
148,3, Graduate, No,1880000.0,5217000.0,12,572,4559000.0,47000.0,5875000.0,1128000.0, Approved
149,0, Not Graduate, Yes,2303000.0,5593000.0,16,709,6862000.0,423000.0,8695000.0,1786000.0, Approved
150,5, Graduate, No,940000.0,2914000.0,18,402,1880000.0,987000.0,3384000.0,516999.99999999994, Rejected
151,1, Not Graduate, Yes,2444000.0,9071000.0,8,481,6721000.0,4465000.0,8836000.0,1974000.0, Rejected
152,5, Graduate, Yes,4182999.9999999995,13536000.0,6,772,6392000.0,2585000.0,9588000.0,3948000.0, Approved
153,1, Graduate, Yes,3055000.0,9682000.0,2,306,7473000.0,893000.0,8507000.0,1504000.0, Approved
154,2, Not Graduate, No,611000.0,2115000.0,6,415,0.0,423000.0,1363000.0,564000.0, Rejected
155,3, Not Graduate, No,4418000.0,16449999.999999998,16,548,8554000.0,2067999.9999999998,16967000.0,2256000.0, Rejected
156,5, Not Graduate, No,2350000.0,5264000.0,8,701,4277000.0,235000.0,6580000.0,2162000.0, Approved
157,2, Graduate, No,1410000.0,3619000.0,12,890,2209000.0,2021000.0,3948000.0,987000.0, Approved
158,5, Not Graduate, Yes,4653000.0,15651000.0,6,364,2491000.0,8789000.0,13066000.0,3901000.0, Rejected
159,5, Graduate, Yes,329000.0,611000.0,20,704,752000.0,0.0,1033999.9999999999,282000.0, Approved
160,3, Graduate, Yes,1880000.0,4982000.0,10,318,705000.0,2397000.0,3760000.0,2303000.0, Rejected
161,5, Not Graduate, No,1457000.0,4512000.0,2,761,2726000.0,846000.0,4888000.0,1974000.0, Approved
162,4, Not Graduate, No,2115000.0,7097000.0,6,693,1739000.0,705000.0,8365999.999999999,2820000.0, Approved
163,3, Not Graduate, No,4559000.0,9682000.0,16,524,11374000.0,5217000.0,12878000.0,2867000.0, Rejected
164,2, Not Graduate, Yes,940000.0,2491000.0,10,681,2303000.0,658000.0,2021000.0,1363000.0, Approved
165,2, Graduate, Yes,3807000.0,10481000.0,18,737,10481000.0,5922000.0,12690000.0,3431000.0, Approved
166,0, Not Graduate, No,2679000.0,7473000.0,16,638,47000.0,4465000.0,7661000.0,2115000.0, Approved
167,4, Not Graduate, No,2726000.0,6016000.0,2,656,235000.0,2350000.0,7520000.0,1316000.0, Approved
168,1, Graduate, No,846000.0,3055000.0,6,540,1175000.0,1504000.0,2350000.0,516999.99999999994, Rejected
169,4, Not Graduate, Yes,4277000.0,16543999.999999998,6,341,470000.0,141000.0,10857000.0,3854000.0, Rejected
170,0, Not Graduate, Yes,2256000.0,8224999.999999999,2,371,5499000.0,3196000.0,8789000.0,1645000.0, Approved
171,3, Not Graduate, Yes,1786000.0,4935000.0,12,886,1880000.0,235000.0,7003000.0,1081000.0, Approved
172,0, Not Graduate, No,893000.0,1927000.0,18,801,188000.0,376000.0,2256000.0,564000.0, Approved
173,3, Not Graduate, Yes,1692000.0,4465000.0,16,748,3619000.0,1128000.0,4559000.0,1222000.0, Approved
174,2, Not Graduate, Yes,3478000.0,13254000.0,8,376,10293000.0,2350000.0,8178000.0,2444000.0, Rejected
175,4, Not Graduate, Yes,3102000.0,6721000.0,8,371,5076000.0,4465000.0,8695000.0,3478000.0, Rejected
176,2, Graduate, No,846000.0,2491000.0,6,826,2115000.0,329000.0,3055000.0,611000.0, Approved
177,4, Not Graduate, No,4324000.0,12784000.0,12,873,2115000.0,846000.0,15886000.0,5358000.0, Approved
178,5, Not Graduate, Yes,1128000.0,4042000.0,8,309,235000.0,282000.0,2679000.0,1316000.0, Rejected
179,4, Not Graduate, No,2632000.0,6251000.0,20,869,1551000.0,3525000.0,9400000.0,3055000.0, Approved
180,5, Graduate, No,1786000.0,6533000.0,12,534,2209000.0,1363000.0,3854000.0,1316000.0, Rejected
181,3, Not Graduate, Yes,2115000.0,8413000.0,6,787,4606000.0,1692000.0,6721000.0,1974000.0, Approved
182,0, Graduate, Yes,423000.0,1033999.9999999999,16,566,47000.0,329000.0,940000.0,282000.0, Approved
183,0, Not Graduate, No,1316000.0,4653000.0,8,742,2303000.0,611000.0,3149000.0,799000.0, Approved
184,2, Not Graduate, No,3525000.0,10857000.0,4,824,5687000.0,5123000.0,12361000.0,4465000.0, Approved
185,4, Graduate, No,658000.0,1457000.0,14,575,1410000.0,987000.0,2303000.0,658000.0, Approved
186,2, Graduate, Yes,1786000.0,5123000.0,10,766,893000.0,1833000.0,4042000.0,1410000.0, Approved
187,1, Not Graduate, Yes,799000.0,2350000.0,10,888,1363000.0,423000.0,1927000.0,1033999.9999999999, Approved
188,3, Graduate, Yes,4230000.0,14288000.0,6,638,7896000.0,5170000.0,12643000.0,4324000.0, Approved
189,5, Not Graduate, Yes,3431000.0,10951000.0,6,622,3337000.0,5452000.0,12408000.0,4935000.0, Approved
190,1, Not Graduate, No,3478000.0,9306000.0,18,458,5922000.0,2914000.0,13019000.0,1880000.0, Rejected
191,1, Not Graduate, No,4230000.0,13254000.0,16,327,799000.0,1081000.0,11280000.0,5264000.0, Rejected
192,0, Not Graduate, No,1410000.0,3055000.0,2,612,4135999.9999999995,1598000.0,3149000.0,799000.0, Approved
193,1, Graduate, No,376000.0,1363000.0,8,682,1033999.9999999999,516999.99999999994,1363000.0,329000.0, Approved
194,2, Graduate, No,2256000.0,6204000.0,2,583,6439000.0,2726000.0,4465000.0,2444000.0, Approved
195,5, Not Graduate, No,3008000.0,8601000.0,8,697,4700000.0,1692000.0,10575000.0,1692000.0, Approved
196,3, Graduate, No,4324000.0,12737000.0,12,306,2726000.0,5405000.0,13160000.0,4512000.0, Rejected
197,4, Not Graduate, Yes,188000.0,705000.0,2,669,-47000.0,282000.0,423000.0,235000.0, Approved
198,2, Not Graduate, No,1316000.0,2820000.0,18,816,2961000.0,1974000.0,3760000.0,1598000.0, Approved
199,4, Not Graduate, Yes,3995000.0,13583000.0,20,455,7144000.0,2726000.0,10575000.0,4418000.0, Rejected
200,3, Graduate, Yes,2209000.0,7708000.0,10,318,5358000.0,3807000.0,7614000.0,2021000.0, Rejected
201,4, Not Graduate, Yes,4606000.0,9964000.0,20,355,10340000.0,4182999.9999999995,14946000.0,6768000.0, Rejected
202,2, Not Graduate, Yes,1786000.0,4182999.9999999995,16,389,94000.0,2632000.0,5734000.0,1033999.9999999999, Rejected
203,2, Graduate, No,235000.0,705000.0,2,888,705000.0,141000.0,705000.0,282000.0, Approved
204,2, Graduate, Yes,3243000.0,7332000.0,6,352,6110000.0,2491000.0,10622000.0,4700000.0, Rejected
205,4, Not Graduate, Yes,4512000.0,14147000.0,12,870,141000.0,3149000.0,17954000.0,2632000.0, Approved
206,3, Not Graduate, No,1363000.0,3055000.0,18,827,3901000.0,282000.0,4888000.0,1504000.0, Approved
207,2, Graduate, No,4606000.0,9823000.0,12,768,1598000.0,4794000.0,18142000.0,6298000.0, Approved
208,0, Graduate, No,3337000.0,7238000.0,18,707,4841000.0,5076000.0,9212000.0,2726000.0, Approved
209,1, Not Graduate, Yes,3619000.0,8977000.0,10,355,5311000.0,2303000.0,10293000.0,3102000.0, Rejected
210,3, Graduate, No,658000.0,1551000.0,2,652,47000.0,987000.0,1645000.0,893000.0, Approved
211,3, Graduate, No,3666000.0,7473000.0,2,665,6768000.0,423000.0,12784000.0,2538000.0, Approved
212,5, Not Graduate, Yes,799000.0,2820000.0,18,420,235000.0,752000.0,1739000.0,1081000.0, Rejected
213,2, Not Graduate, No,3995000.0,15369000.0,18,471,5922000.0,4418000.0,15933000.0,5875000.0, Rejected
214,5, Not Graduate, No,893000.0,3525000.0,20,715,2397000.0,1316000.0,3055000.0,1316000.0, Approved
215,2, Not Graduate, Yes,3149000.0,7144000.0,10,689,0.0,3854000.0,7050000.0,3196000.0, Approved
216,3, Graduate, Yes,3243000.0,7708000.0,4,787,5217000.0,2867000.0,12408000.0,1786000.0, Approved
217,2, Graduate, No,1222000.0,3666000.0,4,819,1457000.0,2021000.0,2679000.0,705000.0, Approved
218,4, Graduate, Yes,4512000.0,9917000.0,6,809,7567000.0,4465000.0,16309000.0,4089000.0, Approved
219,1, Not Graduate, Yes,3196000.0,7990000.0,2,744,7285000.0,1833000.0,11139000.0,1645000.0, Approved
220,0, Not Graduate, No,1504000.0,5311000.0,6,484,1645000.0,2585000.0,3995000.0,987000.0, Rejected
221,4, Not Graduate, No,1363000.0,4888000.0,6,673,2397000.0,799000.0,4982000.0,799000.0, Approved
222,3, Graduate, Yes,3713000.0,9964000.0,18,695,6486000.0,4982000.0,10246000.0,2303000.0, Approved
223,4, Not Graduate, Yes,1833000.0,5828000.0,12,473,3008000.0,2209000.0,6157000.0,1786000.0, Rejected
224,4, Graduate, Yes,2162000.0,5170000.0,2,491,4230000.0,1880000.0,7567000.0,1645000.0, Rejected
225,3, Not Graduate, Yes,329000.0,799000.0,8,733,564000.0,376000.0,1128000.0,235000.0, Approved
226,0, Not Graduate, No,2444000.0,7332000.0,20,434,6627000.0,2726000.0,8507000.0,2585000.0, Rejected
227,3, Not Graduate, Yes,2773000.0,9682000.0,10,777,893000.0,2162000.0,9964000.0,3008000.0, Approved
228,4, Graduate, No,3384000.0,8977000.0,4,774,4418000.0,3290000.0,8413000.0,1692000.0, Approved
229,1, Not Graduate, Yes,4089000.0,12690000.0,10,717,11985000.0,4042000.0,8224999.999999999,4277000.0, Approved
230,3, Not Graduate, Yes,516999.99999999994,1645000.0,12,503,1410000.0,188000.0,1033999.9999999999,564000.0, Rejected
231,1, Graduate, Yes,1880000.0,5123000.0,14,598,1692000.0,3102000.0,6392000.0,2067999.9999999998, Approved
232,2, Graduate, No,4606000.0,15228000.0,2,543,11374000.0,8224999.999999999,12079000.0,3619000.0, Approved
233,0, Not Graduate, Yes,1269000.0,3196000.0,20,796,329000.0,1974000.0,3290000.0,893000.0, Approved
234,3, Not Graduate, Yes,4135999.9999999995,16262000.0,8,386,6956000.0,7755000.0,8648000.0,2820000.0, Rejected
235,5, Not Graduate, Yes,1551000.0,3666000.0,16,632,3995000.0,235000.0,3337000.0,2303000.0, Approved
236,1, Graduate, Yes,3243000.0,10998000.0,4,481,8789000.0,516999.99999999994,10998000.0,4794000.0, Approved
237,3, Graduate, Yes,423000.0,1645000.0,4,770,329000.0,0.0,940000.0,282000.0, Rejected
238,3, Graduate, Yes,1927000.0,7285000.0,6,667,1316000.0,752000.0,6909000.0,1880000.0, Approved
239,3, Not Graduate, Yes,2209000.0,8224999.999999999,8,585,564000.0,1457000.0,4512000.0,2303000.0, Approved
240,5, Graduate, Yes,1598000.0,5452000.0,16,479,4324000.0,2679000.0,5264000.0,1128000.0, Rejected
241,2, Graduate, No,4512000.0,10575000.0,18,851,3478000.0,7614000.0,11421000.0,5969000.0, Approved
242,3, Not Graduate, Yes,3290000.0,7614000.0,6,378,9400000.0,5922000.0,9541000.0,2585000.0, Rejected
243,5, Graduate, No,2679000.0,6063000.0,18,807,1927000.0,423000.0,8742000.0,2585000.0, Approved
